ID,PLAYER NAME,KILL POINTS,T4 DEADS,T5 DEADS,DEADS,T4 KILLS,T5 KILLS,KILLS,DKP,KILL REQUIREMENTS,POWER LOSS REQUIREMENTS
176847001,Sunnyyy Jr,60772706,,,,2651923,1702077,4932856,,7000000,2000000
16810708,Demeter 1,65055124,,,,2110116,2194380,4344496,,8000000,2700000
145384872,Ney Mall Farm,52157802,,,,2645407,1284480,3990776,,20000000,7700000
145521005,CeceButtercup,53912894,,,,1772391,1802157,3665289,,9000000,3500000
146115533,SèxyJoe,61169046,,,,43944,2837436,3378610,,26000000,10400000
19036336,Devastator G1,46769278,,,,1725063,1472636,3282125,,10000000,4400000
140056949,DuZy f1 ᴾᴸ,42462365,,,,1757984,1242696,3011672,,7000000,2000000
145511528,Airatao,43099807,,,,54014,1881044,2808644,,31500000,13500000
140441664,ミExcèL R2 シ,38823640,,,,1618437,1129527,2771572,,7000000,2000000
2046329,ᴳᶜMr Elvisツ,50694886,,,,35894,2355052,2724399,,31500000,13500000
103204599,BˡᵘᵉNEBULA,39572568,,,,1464452,1246102,2716520,,20000000,7700000
144979781,Just G3,35971161,,,,1701103,94574,2663576,,7000000,2000000
